AD_wx (deg/s),AD_wy (deg/s),AD_wz (deg/s)
4.150487525871756483e-02,4.159218637332393054e-02,4.166323584676335373e-02
2.940599934586762138e-02,2.937527475915786834e-02,2.963466047215539828e-02
2.397288574362451199e-02,2.393243103147436185e-02,2.401525042346206937e-02
2.079636640012121757e-02,2.058289335387029559e-02,2.093369702698866935e-02
1.863332294638119987e-02,1.839923094791085650e-02,1.876480431400313550e-02
1.693610873128824010e-02,1.686033868376640363e-02,1.700470733072445562e-02
1.570378181837536052e-02,1.571993229903109052e-02,1.585174817283818358e-02
1.475687873285111938e-02,1.463412031678791234e-02,1.483129437966148982e-02
1.377798012773486305e-02,1.383127899002254031e-02,1.396140064996404147e-02
1.313253625215114045e-02,1.304764993812081858e-02,1.322165869298528793e-02
9.248049282326793394e-03,9.257193283802969339e-03,9.385831498446722126e-03
7.645894191219700965e-03,7.601379793677660174e-03,7.565822028349848336e-03
6.541473535725646042e-03,6.577712770185045396e-03,6.632893235103695141e-03
5.966485322374841770e-03,5.933604539813129401e-03,5.925143087710080421e-03
5.353250608913428729e-03,5.377081800605017746e-03,5.341927678597719470e-03
4.996141870443800322e-03,5.003611746713584885e-03,5.057336687343027062e-03
4.620712200770619657e-03,4.530652266752680304e-03,4.648899858037708333e-03
4.319636523625851841e-03,4.333570478452277060e-03,4.325458495271920605e-03
4.084417728220266983e-03,4.152777877320164290e-03,4.160956882840429610e-03
3.036505718228756524e-03,3.004495746822699858e-03,2.939430842074782554e-03
2.372935397851424176e-03,2.306654610437721634e-03,2.463367922076506889e-03
2.142627145746515364e-03,2.135977660656308581e-03,1.946381406569228653e-03
1.742536354183288425e-03,1.915601353066532673e-03,1.862105023832113767e-03
1.672673553102174693e-03,1.712944164491896114e-03,1.687024456574338959e-03
1.540530487102913801e-03,1.544419791795409837e-03,1.505827983104656874e-03
1.540099603504385640e-03,1.451372822766637191e-03,1.373423730624551446e-03
1.311296196888248750e-03,1.352041424130691078e-03,1.365256618971738686e-03
1.276846420028959848e-03,1.340384259986212917e-03,1.299188117497351207e-03
1.011052947954174056e-03,1.127233256998511502e-03,1.009526870040822980e-03
9.103800306920315118e-04,7.870264995266041319e-04,9.493235258676192704e-04
7.793108910881773850e-04,8.409217740420206998e-04,9.120331676315422470e-04
7.758170059657288221e-04,7.702053358564852443e-04,7.351349997262470164e-04
8.111979995216527742e-04,7.217278081447609872e-04,8.594031016923424924e-04
5.471109089245691391e-04,6.641546008922553576e-04,7.199989416171602343e-04
7.717672434437120466e-04,7.125897250899391718e-04,7.442597068347890947e-04
7.117368003129604650e-04,8.742084989143344498e-04,8.948174758236682354e-04
4.719539607774026770e-04,7.857775974997541907e-04,7.430183649883447981e-04
4.657627933529268549e-04,4.613816960440185033e-04,9.565029547087892632e-04
